application_id,application_date,company,position,location,remote_type,source,status,min_salary_expectation,max_salary_expectation,required_experience_years,tech_stack,sql_required,python_required,tableau_required,powerbi_required,english_required,interview_date,response_date,application_score,company_size,industry,job_url,notes
112,2026-02-21,Akbank,Risk Data Analyst,Hybrid Istanbul,Remote,Wellfound,Offer,70000.0,80000.0,4,"SQL, A/B Testing, Product Analytics",No,Yes,No,Yes,Yes,2026-03-03,2026-03-15,66,Enterprise,Telecom,,Strong match with SQL and Python requirements
113,2026-03-13,Peak Games,Data Analyst,,On-site,GitHub Jobs,Technical Interview,100000.0,150000.0,4,"Python, SQL, Statistics",No,No,Yes,No,No,2026-04-05,2026-04-08,51,Corporate,Gaming,https://example.com/job/113,Needs financial analytics knowledge
114,2026-02-08,Google,Operations Analyst,Izmir,Hybrid,Referral,Technical Interview,40000.0,90000.0,2,,No,Yes,No,No,Yes,2026-02-25,2026-03-14,74,Scale-up,E-commerce,https://example.com/job/114,Case study expected
115,2026-02-18,HepsiPay,Fraud Analyst,Remote,Hybrid,Referral,Applied,50000.0,70000.0,2,,Yes,Yes,Yes,Yes,No,,,98,Scale-up,Gaming,https://example.com/job/115,Banking domain experience preferred
116,2026-04-28,Amazon,Financial Data Analyst,Hybrid Ankara,Hybrid,Indeed,Case Study,,120000.0,2,"Python, SQL, Machine Learning",No,No,Yes,No,No,2026-05-18,,98,Scale-up,SaaS,https://example.com/job/116,Company focuses on e-commerce analytics
117,2026-02-22,Trendyol,Reporting Analyst,Europe Remote,Hybrid,Company Website,Applied,70000.0,90000.0,1,"Python, SQL, Statistics",Yes,No,Yes,No,No,,,56,Corporate,Retail,https://example.com/job/117,Good opportunity for junior analyst role
118,2026-01-22,Peak Games,Business Analyst,Istanbul,On-site,LinkedIn,Rejected,60000.0,110000.0,0,"SQL, Python, Tableau",Yes,No,Yes,Yes,Yes,,2026-02-01,85,Scale-up,E-commerce,https://example.com/job/118,
119,2026-03-06,Trendyol,Data Analyst,Europe Remote,Remote,LinkedIn,Offer,120000.0,160000.0,4,,No,Yes,No,Yes,Yes,2026-03-20,2026-03-12,98,Startup,Banking,,Needs financial analytics knowledge
120,2026-01-25,Hepsiburada,Product Analyst,Europe Remote,Hybrid,Referral,Final Interview,80000.0,120000.0,5,"SQL, Python, Looker",No,Yes,Yes,Yes,No,2026-02-08,,64,Corporate,Retail,,Strong match with SQL and Python requirements
45,2026-04-17,Akbank,Operations Analyst,Remote,On-site,Company Website,Offer,120000.0,170000.0,0,"Excel, SQL, Reporting",No,No,No,Yes,No,2026-05-05,2026-04-29,86,Enterprise,Retail,https://example.com/job/45,"Remote role, good fit"
48,2026-02-18,Getir,Fraud Analyst,Ankara,Remote,Indeed,Rejected,120000.0,170000.0,1,"SQL, Power BI, Excel",No,Yes,Yes,No,Yes,,2026-03-15,84,Enterprise,E-commerce,https://example.com/job/48,Strong match with SQL and Python requirements
5,2026-01-30,Papara,Junior Data Analyst,Remote,On-site,Wellfound,Applied,90000.0,,1,"Power BI, DAX, SQL",No,No,Yes,No,Yes,,,55,Enterprise,Logistics,https://example.com/job/5,Potentially high salary range
56,2026-04-20,Logo Yazılım,Product Analyst,Istanbul,Hybrid,Indeed,Rejected,,,1,"SQL, Power BI, Excel",No,Yes,Yes,Yes,Yes,,2026-04-28,90,Enterprise,Gaming,https://example.com/job/56,
27,2026-03-01,Google,Operations Analyst,Istanbul,On-site,GitHub Jobs,No Response,40000.0,60000.0,3,"SQL, Python, Tableau",No,No,No,No,Yes,,,71,Scale-up,Telecom,https://example.com/job/27,Banking domain experience preferred
